Tag	Monat	Jahr	Zahl1	Zahl2	Zahl3	Zahl4	Zahl5	Zahl6	Superzahl
14	2	2015	42	36	29	21	41	23	3	
18	2	2015	44	24	31	46	42	27	6	
21	2	2015	41	18	3	31	35	42	1	
25	2	2015	20	38	43	25	30	27	0	
28	2	2015	2	45	41	49	20	25	0	
4	3	2015	3	16	48	22	46	36	7	
7	3	2015	6	19	41	16	7	1	5	
11	3	2015	4	8	42	10	32	28	6	
14	3	2015	15	43	48	39	21	23	1	
18	3	2015	40	6	23	25	46	12	9	
21	3	2015	30	4	5	19	41	3	1	
25	3	2015	27	13	39	19	16	48	1	
28	3	2015	30	7	46	26	6	27	4	
1	4	2015	22	29	38	7	16	32	8	
4	4	2015	43	23	34	12	28	20	8	
8	4	2015	20	44	41	37	14	47	9	
11	4	2015	46	47	36	2	15	11	6	
15	4	2015	33	39	46	29	14	37	7	
18	4	2015	5	44	3	17	39	14	7	
22	4	2015	34	21	11	22	35	4	7	
25	4	2015	3	1	36	7	11	23	6	
29	4	2015	43	38	41	7	20	9	6	
2	5	2015	3	18	45	9	6	7	9	
6	5	2015	38	6	26	2	40	43	7	
9	5	2015	7	29	35	14	41	13	3	
13	5	2015	39	20	49	3	7	27	1	
16	5	2015	34	16	15	47	14	40	5	
20	5	2015	33	38	26	2	11	30	7	
23	5	2015	28	46	4	6	14	27	0	
27	5	2015	4	11	14	29	8	12	2	
30	5	2015	31	3	24	2	44	11	0	
3	6	2015	48	20	37	23	8	24	6	
6	6	2015	15	22	29	48	41	16	0	
10	6	2015	45	34	12	2	40	22	0	
13	6	2015	43	5	4	26	1	18	0	
17	6	2015	12	15	48	8	37	41	2	
20	6	2015	6	21	32	38	16	35	4	
24	6	2015	33	16	20	31	45	42	3	
27	6	2015	41	33	29	19	3	28	7	
1	7	2015	42	11	35	41	10	37	2	
4	7	2015	47	17	42	14	32	18	1	
8	7	2015	13	33	5	38	12	39	4	
11	7	2015	30	19	11	42	20	35	9	
15	7	2015	43	18	34	48	45	9	2	
18	7	2015	17	18	31	30	5	42	6	
22	7	2015	43	22	18	33	20	19	7	
25	7	2015	30	46	41	4	47	17	6	
29	7	2015	44	30	37	25	18	39	5	
1	8	2015	36	20	31	16	7	4	4	
5	8	2015	7	15	10	38	35	39	1	
8	8	2015	42	13	29	48	36	7	0	
12	8	2015	45	10	6	15	28	24	9	
15	8	2015	9	42	26	14	3	30	3	
19	8	2015	24	28	22	48	38	16	2	
22	8	2015	2	46	26	44	3	45	7	
26	8	2015	3	26	36	42	16	30	2	
29	8	2015	23	8	28	16	12	44	8	
2	9	2015	2	16	35	18	3	20	1	
5	9	2015	1	47	43	13	22	12	1	
9	9	2015	2	19	44	26	46	28	2	
12	9	2015	6	2	28	26	22	15	5	
16	9	2015	30	1	24	5	42	4	2	
19	9	2015	8	17	12	37	44	29	3	
23	9	2015	33	24	14	18	10	44	9	
26	9	2015	34	6	33	31	16	15	7	
30	9	2015	16	39	49	2	1	22	8	
3	10	2015	41	31	40	32	33	18	8	
7	10	2015	25	33	28	7	11	12	4	
10	10	2015	49	40	26	5	38	37	1	
14	10	2015	22	28	17	15	41	29	5	
17	10	2015	28	41	10	19	23	9	0	
21	10	2015	17	4	24	39	49	18	2	
24	10	2015	18	6	36	4	29	22	2	
28	10	2015	47	29	49	1	18	33	0	
31	10	2015	29	7	17	26	40	9	9	
4	11	2015	12	40	45	24	33	5	6	
7	11	2015	11	4	25	39	17	48	4	
11	11	2015	41	28	15	14	25	20	3	
14	11	2015	31	48	29	8	1	24	3	
18	11	2015	21	48	33	19	49	9	9	
21	11	2015	12	42	46	23	17	29	8	
25	11	2015	14	43	36	19	46	41	9	
28	11	2015	10	6	3	24	37	47	1	
2	12	2015	10	31	12	44	3	26	8	
5	12	2015	12	29	35	42	47	6	7	
9	12	2015	37	3	30	44	48	32	4	
12	12	2015	24	3	43	31	1	6	6	
16	12	2015	9	27	24	13	21	36	3	
19	12	2015	22	33	10	46	7	1	1	
23	12	2015	21	13	34	47	32	18	8	
26	12	2015	41	22	40	15	19	9	5	
30	12	2015	14	17	27	45	8	26	4	
2	1	2016	35	47	23	43	30	1	8	
6	1	2016	12	3	45	36	27	42	0	
9	1	2016	13	10	31	34	46	48	6	
13	1	2016	14	18	46	35	25	19	0	
16	1	2016	21	31	34	23	39	9	8	
20	1	2016	12	14	15	19	7	46	3	
23	1	2016	27	26	40	16	2	25	0	
27	1	2016	14	16	12	47	29	19	3	
30	1	2016	40	48	33	18	34	23	9	
3	2	2016	10	47	19	33	18	31	8	
6	2	2016	25	10	28	16	34	49	5	
10	2	2016	34	38	32	19	2	17	4	
13	2	2016	45	20	18	30	43	32	8	
17	2	2016	24	39	38	26	32	35	3	
20	2	2016	29	31	1	16	30	13	6	
24	2	2016	48	13	5	47	31	23	5	
27	2	2016	15	37	10	49	7	25	7	
2	3	2016	16	40	8	10	17	1	9	
5	3	2016	43	10	46	33	7	37	3	
9	3	2016	48	32	37	13	46	10	7	
12	3	2016	39	49	30	26	20	47	4	
16	3	2016	26	9	29	35	11	46	6	
19	3	2016	37	4	15	49	44	10	5	
23	3	2016	44	16	31	22	10	9	0	
26	3	2016	31	1	41	40	3	33	5	
30	3	2016	13	5	1	41	9	26	1	
2	4	2016	38	1	23	28	17	10	6	
6	4	2016	6	30	33	42	25	19	4	
9	4	2016	1	4	47	39	38	46	2	
13	4	2016	13	17	49	36	2	35	7	
16	4	2016	38	20	15	22	5	14	9	
20	4	2016	1	49	20	13	5	11	8	
23	4	2016	15	8	27	17	35	16	4	
27	4	2016	6	1	21	37	26	9	6	
30	4	2016	43	36	30	28	14	26	6	
4	5	2016	11	35	2	39	49	14	5	
7	5	2016	16	34	42	44	32	37	9	
11	5	2016	20	41	39	10	31	19	5	
14	5	2016	15	5	13	30	44	26	9	
18	5	2016	41	31	10	19	13	26	4	
21	5	2016	48	5	46	47	2	29	4	
25	5	2016	30	10	36	21	6	9	6	
28	5	2016	9	17	5	45	39	24	3	
1	6	2016	25	35	30	40	46	19	2	
4	6	2016	6	22	35	42	31	5	3	
8	6	2016	48	44	30	2	5	33	6	
11	6	2016	45	6	13	27	21	38	5	
15	6	2016	7	12	33	48	49	13	7	
18	6	2016	8	27	2	17	12	19	1	
22	6	2016	35	43	19	8	41	40	8	
25	6	2016	10	34	11	6	44	2	3	
29	6	2016	44	49	4	5	32	28	4	
2	7	2016	30	15	26	6	8	4	9	
6	7	2016	16	38	42	4	37	18	0	
9	7	2016	44	34	1	49	37	40	7	
13	7	2016	33	27	14	20	41	10	7	
16	7	2016	18	22	34	44	30	1	5	
20	7	2016	18	28	40	1	20	49	5	
23	7	2016	47	25	29	48	5	43	5	
27	7	2016	39	5	18	6	17	7	1	
30	7	2016	33	6	30	23	13	26	2	
3	8	2016	34	26	42	43	21	15	6	
6	8	2016	33	26	45	6	47	25	0	
10	8	2016	11	23	12	49	17	43	9	
13	8	2016	6	30	28	39	14	37	2	
17	8	2016	41	2	30	34	10	49	1	
20	8	2016	23	30	31	45	28	37	5	
24	8	2016	42	48	16	14	6	35	2	
27	8	2016	8	33	32	43	22	1	9	
31	8	2016	7	31	41	37	40	3	3	
3	9	2016	30	8	25	14	36	18	1	
7	9	2016	21	27	7	11	19	18	0	
10	9	2016	6	1	24	43	11	3	0	
14	9	2016	31	35	20	3	2	15	8	
17	9	2016	3	46	35	47	37	34	2	
21	9	2016	29	24	11	18	1	8	5	
24	9	2016	45	21	32	15	18	4	4	
28	9	2016	41	44	11	15	38	46	2	
1	10	2016	20	34	25	37	7	26	1	
5	10	2016	17	6	1	28	41	5	1	
8	10	2016	35	48	14	33	32	21	5	
12	10	2016	29	35	47	39	37	22	2	
15	10	2016	29	41	13	7	38	19	9	
19	10	2016	33	42	16	40	43	32	5	
22	10	2016	48	2	32	21	36	26	7	
26	10	2016	43	11	18	44	45	15	6	
29	10	2016	28	36	8	5	7	26	8	
2	11	2016	19	30	1	26	48	12	6	
5	11	2016	38	42	9	43	32	35	8	
9	11	2016	39	20	33	6	41	13	5	
12	11	2016	20	47	6	2	19	9	1	
16	11	2016	38	39	19	20	13	44	8	
19	11	2016	2	39	38	15	6	1	3	
23	11	2016	38	31	44	28	27	4	7	
